OID,License_Se,License_Ty,License_Cl,License__1,Agency_Zon,Agency_Z_1,County_Nam,Premises_N,Doing_Busi,Actual_Add,Additional,City,State,Zip,License_Ce,License_Or,License_Ef,License_Ex,Latitude,Longitude,Location,serial_a2b
-1,1003823,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,KENNETH MCPARTLAN TAVERN CORP,GLEN ROY TAVERN,145 E 149TH STREET,,BRONX,NY,10451,871883,,3/1/2017 0:00:00,2/28/2019 0:00:00,40.818849630499997,-73.928022570300001,"(40.8188496305, -73.9280225703)",207
-1,1003824,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,GLACKENS BAR & GRILL CORP,GLACKENS BAR & GRILL,135 E 149TH STREET,,BRONX,NY,10451,886107,,4/1/2018 0:00:00,3/31/2020 0:00:00,40.818939518599997,-73.928375204899993,"(40.8189395186, -73.9283752049)",208
-1,1003854,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,STEBAR FOOD CORP,WALNUT BUSSTOP COFFEE SHOP,881 883 E 134TH STREET,,BRONX,NY,10454,871647,,3/1/2017 0:00:00,2/28/2019 0:00:00,40.800417848300000,-73.910742403900002,"(40.8004178483, -73.9107424039)",209
-1,1003874,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,LA LECHONERA CRIOLLA INC,,1709 WEBSTER AVE,,BRONX,NY,10457,876365,,7/3/2017 0:00:00,5/31/2019 0:00:00,40.843392666900002,-73.903519155400005,"(40.8433926669, -73.9035191554)",210
-1,1003876,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,EL DIAMANTE RESTAURANT CORP,EL DIAMANTE RESTAURANT,4371 3RD AVE,,BRONX,NY,10457,877658,,8/1/2017 0:00:00,7/31/2019 0:00:00,40.850702119899999,-73.894170895100004,"(40.8507021199, -73.8941708951)",211
-1,1003885,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,DOMINICKS BAR & RESTAURANT INC,,2335 ARTHUR AVENUE,,BRONX,NY,10458,874887,,6/1/2017 0:00:00,5/31/2019 0:00:00,40.854134888899999,-73.888849639399993,"(40.8541348889, -73.8888496394)",212
-1,1003897,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,MARIOS RESTAURANT INC,MARIOS RESTAURANT,2342 ARTHUR AVENUE,,BRONX,NY,10458,883629,,3/1/2018 0:00:00,2/29/2020 0:00:00,40.854125387200000,-73.888684312799995,"(40.8541253872, -73.8886843128)",213
-1,1003900,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,MEXICAN ENTERTAINMENT OF WEBSTER INC,,2649 WEBSTER AVENUE,,BRONX,NY,10458,868639,,12/1/2016 0:00:00,11/30/2018 0:00:00,40.863580095000003,-73.889057780100003,"(40.863580095, -73.8890577801)",214
-1,1003904,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,P A R T RESTAURANT CORP,PASQUALES RIGOLETTO,2311 ARTHUR AVE,,BRONX,NY,10458,869780,,1/11/2017 0:00:00,12/31/2018 0:00:00,40.853519690600002,-73.889387868800000,"(40.8535196906, -73.8893878688)",215
-1,1003909,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,S&N ARTHUR AVENUE INC,,2331 ARTHUR AVE,,BRONX,NY,10458,880214,,12/1/2017 0:00:00,11/30/2019 0:00:00,40.854003832799997,-73.888877477600005,"(40.8540038328, -73.8888774776)",216
